RID=2347d12a-87d1-49b4-a064-c9573c6031d8
VIDEO_ID=1
STAGE=after_complete
SINCE=15m

===== WEB (learning_app-web-1) (rid=2347d12a-87d1-49b4-a064-c9573c6031d8 OR video_id=1) =====
2026-03-02 08:48:46 INFO [uvicorn.access] rid=a1ce20e4-5c46-4298-a1dc-24c5222fe3f1 tid=3f7b7988-1a76-4634-81e6-18bd9c018a8b 172.18.0.1:38054 - "POST /api/v1/videos/1/upload/direct HTTP/1.1" 200
2026-03-02 08:48:46 INFO [service.storage_service] rid=2347d12a-87d1-49b4-a064-c9573c6031d8 tid=1526c709-4719-4529-9af7-144a701b1fca Local storage initialized at: uploads
2026-03-02 08:48:46 INFO [uvicorn.access] rid=2347d12a-87d1-49b4-a064-c9573c6031d8 tid=1526c709-4719-4529-9af7-144a701b1fca 172.18.0.1:38064 - "POST /api/v1/videos/1/upload/complete HTTP/1.1" 200

===== OUTBOX (learning_app-outbox-1) (rid=2347d12a-87d1-49b4-a064-c9573c6031d8 OR video_id=1) =====
2026-03-02 08:43:58 INFO [outbox] rid=- tid=- self_check: ok (db + rabbit)
2026-03-02 08:43:58 INFO [outbox] rid=- tid=- boot: started publisher loop
2026-03-02 08:43:58 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:43:58 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:43:59 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:43:59 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:00 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:00 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:01 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:01 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:02 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:02 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:03 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:03 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:04 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:04 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:05 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:06 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:06 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-03-02 08:44:07 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
