RID=4f678bf2-0128-4f64-89c0-c0b5e660eb31
VIDEO_ID=2
STAGE=after_complete
SINCE=15m

===== WEB (learning_app-web-1) (rid=4f678bf2-0128-4f64-89c0-c0b5e660eb31 OR video_id=2) =====
2026-02-24 09:06:06 INFO [uvicorn.access] rid=9b4815bf-a41e-418f-8302-c76e7d56b255 tid=a47fece1-e15b-4f5e-aced-9a387b36db2c 172.18.0.1:53142 - "POST /api/v1/videos/2/upload/direct HTTP/1.1" 200
2026-02-24 09:06:06 INFO [service.storage_service] rid=4f678bf2-0128-4f64-89c0-c0b5e660eb31 tid=721255e9-7ee5-457d-bf4a-4f90c676519a Local storage initialized at: uploads
2026-02-24 09:06:06 INFO [uvicorn.access] rid=4f678bf2-0128-4f64-89c0-c0b5e660eb31 tid=721255e9-7ee5-457d-bf4a-4f90c676519a 172.18.0.1:53150 - "POST /api/v1/videos/2/upload/complete HTTP/1.1" 200

===== OUTBOX (learning_app-outbox-1) (rid=4f678bf2-0128-4f64-89c0-c0b5e660eb31 OR video_id=2) =====
2026-02-24 08:51:06 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:06 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:07 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:07 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:08 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:08 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:09 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:09 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:10 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:10 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:11 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:11 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:12 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:12 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:13 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:51:13 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
